Entry,Name,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Move 1 Class,Move 2 Class,Move 3 Class,Move 4 Class,Possible Ability,Lv 100 speed,Lv 50 Speed,Attack,Defense,Support,Attack_50,Defense_50,Support_50,CONTAINS_ATK,ATK_COUNT,CONTAINS_DEF,DEF_COUNT,CONTAINS_SPT,SPT_COUNT,ALL3,NumClasses,R_ATK,R_DEF,NOMOVE,R_ATK_50,R_DEF_50,NOMOVE_50,AI_ATK,AI_DEF,AI_SPT,AI_ATK_50,AI_DEF_50,AI_SPT_50
1,Sunkern 1,Sunkern,1,Relaxed,Lax Incense,Mega Drain,Helping Hand,Sunny Day,Light Screen,Mega Drain ATK,Helping Hand DEF,Sunny Day DEF,Light Screen DEF,Chlorophyll,86,45,0.25,0.15,0.6,0.75,0.15,0.1,1,1,1,3,0,0,0,2,0,0.3,0.3,0,0.05,0.05,0.25,0.15,0,0.75,0.15,0
2,Azurill 1,Azurill,1,Rash,Cheri Berry,Water Pulse,Attract,Sing,Charm,Water Pulse ATK,Attract SPT,Sing SPT,Charm SPT,Thick Fat / Huge Power,76,40,0.3,0.13,0.57,0.27,0.06,0.67,1,1,0,0,1,3,0,2,0.065,0,0.065,0.03,0,0.03,0.3,0,0.57,0.27,0,0.67
3,Caterpie 1,Caterpie,1,Quirky,Focus Band,Tackle,String Shot,---,---,Tackle ATK,String Shot SPT,#N/A,#N/A,Shield Dust,126,65,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
4,Weedle 1,Weedle,1,Quirky,Focus Band,Poison Sting,String Shot,---,---,Poison Sting ATK,String Shot SPT,#N/A,#N/A,Shield Dust,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
5,Wurmple 1,Wurmple,1,Quirky,Lax Incense,Tackle,String Shot,Poison Sting,---,Tackle ATK,String Shot SPT,Poison Sting ATK,#N/A,Shield Dust,76,40,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
6,Ralts 1,Ralts,1,Docile,TwistedSpoon,Confusion,Imprison,Double Team,Light Screen,Confusion ATK,Imprison DEF,Double Team DEF,Light Screen DEF,Synchronize / Trace,116,60,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,3,0,0,0,2,0,0.11,0.11,0,0.11,0.11,0.56,0.22,0,0.56,0.22,0
7,Magikarp 1,Magikarp,1,Hardy,Focus Band,Flail,---,---,---,Flail ATK,#N/A,#N/A,#N/A,Swift Swim,196,100,0.61,0.07,0.32,0.61,0.07,0.32,1,1,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
8,Feebas 1,Feebas,1,Lonely,Focus Band,Flail,Mirror Coat,---,---,Flail ATK,Mirror Coat SPT,#N/A,#N/A,Swift Swim,196,100,0.2,0.25,0.55,0.84,0.08,0.08,1,1,0,0,1,1,0,2,0.125,0,0.125,0.04,0,0.04,0.2,0,0.55,0.84,0,0.08
9,Metapod 1,Metapod,1,Bashful,Lax Incense,Harden,---,---,---,Harden DEF,#N/A,#N/A,#N/A,Shed Skin,96,50,0.3,0.58,0.12,0.3,0.58,0.12,0,0,1,1,0,0,0,1,0,0.21,0.21,0,0.21,0.21,0,0.58,0,0,0.58,0
10,Kakuna 1,Kakuna,1,Bashful,Lax Incense,Harden,---,---,---,Harden DEF,#N/A,#N/A,#N/A,Shed Skin,106,55,0.3,0.58,0.12,0.3,0.58,0.12,0,0,1,1,0,0,0,1,0,0.21,0.21,0,0.21,0.21,0,0.58,0,0,0.58,0
