Name,Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLOE,Ace Trainer ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAWYER,Ace Trainer ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOACHIM,Gentleman ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMA,PKMN Ranger ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOFF,PKMN Ranger ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOHA,Socialite ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTIN,Veteran ,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,ZAPDOS 1,ZAPDOS 2,ZAPDOS 3,ZAPDOS 4,MOLTRES 1,MOLTRES 2,MOLTRES 3,MOLTRES 4,RAIKOU 1,RAIKOU 2,RAIKOU 3,RAIKOU 4,ENTEI 1,ENTEI 2,ENTEI 3,ENTEI 4,SUICUNE 1,SUICUNE 2,SUICUNE 3,SUICUNE 4,REGIROCK 1,REGIROCK 2,REGIROCK 3,REGIROCK 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,REGISTEEL 1,REGISTEEL 2,REGISTEEL 3,REGISTEEL 4,LATIAS 1,LATIAS 2,LATIAS 3,LATIAS 4,LATIOS 1,LATIOS 2,LATIOS 3,LATIOS 4,HEATRAN 1,HEATRAN 2,HEATRAN 3,HEATRAN 4,CRESSELIA 1,CRESSELIA 2,CRESSELIA 3,CRESSELIA 4,REGIGIGAS 1,REGIGIGAS 2,REGIGIGAS 3,REGIGIGAS 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDA,Ace Trainer ,JYNX 1,JYNX 2,JYNX 3,JYNX 4,DEWGONG 1,DEWGONG 2,DEWGONG 3,DEWGONG 4,GLALIE 1,GLALIE 2,GLALIE 3,GLALIE 4,FROSLASS 1,FROSLASS 2,FROSLASS 3,FROSLASS 4,ABOMASNOW 1,ABOMASNOW 2,ABOMASNOW 3,ABOMASNOW 4,WEAVILE 1,WEAVILE 2,WEAVILE 3,WEAVILE 4,GLACEON 1,GLACEON 2,GLACEON 3,GLACEON 4,WALREIN 1,WALREIN 2,WALREIN 3,WALREIN 4,MAMOSWINE 1,MAMOSWINE 2,MAMOSWINE 3,MAMOSWINE 4,LAPRAS 1,LAPRAS 2,LAPRAS 3,LAPRAS 4,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPAL,Ace Trainer ,JYNX 1,JYNX 2,JYNX 3,JYNX 4,DEWGONG 1,DEWGONG 2,DEWGONG 3,DEWGONG 4,GLALIE 1,GLALIE 2,GLALIE 3,GLALIE 4,FROSLASS 1,FROSLASS 2,FROSLASS 3,FROSLASS 4,ABOMASNOW 1,ABOMASNOW 2,ABOMASNOW 3,ABOMASNOW 4,WEAVILE 1,WEAVILE 2,WEAVILE 3,WEAVILE 4,GLACEON 1,GLACEON 2,GLACEON 3,GLACEON 4,WALREIN 1,WALREIN 2,WALREIN 3,WALREIN 4,MAMOSWINE 1,MAMOSWINE 2,MAMOSWINE 3,MAMOSWINE 4,LAPRAS 1,LAPRAS 2,LAPRAS 3,LAPRAS 4,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEW,Ace Trainer ,JYNX 1,JYNX 2,JYNX 3,JYNX 4,DEWGONG 1,DEWGONG 2,DEWGONG 3,DEWGONG 4,GLALIE 1,GLALIE 2,GLALIE 3,GLALIE 4,FROSLASS 1,FROSLASS 2,FROSLASS 3,FROSLASS 4,ABOMASNOW 1,ABOMASNOW 2,ABOMASNOW 3,ABOMASNOW 4,WEAVILE 1,WEAVILE 2,WEAVILE 3,WEAVILE 4,GLACEON 1,GLACEON 2,GLACEON 3,GLACEON 4,WALREIN 1,WALREIN 2,WALREIN 3,WALREIN 4,MAMOSWINE 1,MAMOSWINE 2,MAMOSWINE 3,MAMOSWINE 4,LAPRAS 1,LAPRAS 2,LAPRAS 3,LAPRAS 4,ARTICUNO 1,ARTICUNO 2,ARTICUNO 3,ARTICUNO 4,REGICE 1,REGICE 2,REGICE 3,REGICE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
