Name,Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PABLO,,PYROAR 1,EXPLOUD 1,TAUROS 1,PINSIR 1,BRAVIARY 1,PORYGON-Z 1,FORRETRESS 1,LOPUNNY 1,MILTANK 1,SCIZOR 1,PORYGON2 1,SNORLAX 1,VESPIQUEN 1,AMBIPOM 1,ARMALDO 1,HERACROSS 1,LICKILICKY 1,BLISSEY 1,STARAPTOR 1,DURANT 1,ESCAVALIER 1,URSARING 1,YANMEGA 1,VOLCARONA 1,UNFEZANT 1,KANGASKHAN 1,ACCELGOR 1,SHUCKLE 1,BOUFFALANT 1,SLAKING 1,UNFEZANT 1,KANGASKHAN 1,ACCELGOR 1,SHUCKLE 1,BOUFFALANT 1,SLAKING 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATHAN,,PYROAR 1,EXPLOUD 1,TAUROS 1,PINSIR 1,BRAVIARY 1,PORYGON-Z 1,FORRETRESS 1,LOPUNNY 1,MILTANK 1,SCIZOR 1,PORYGON2 1,SNORLAX 1,VESPIQUEN 1,AMBIPOM 1,ARMALDO 1,HERACROSS 1,LICKILICKY 1,BLISSEY 1,STARAPTOR 1,DURANT 1,ESCAVALIER 1,URSARING 1,YANMEGA 1,VOLCARONA 1,UNFEZANT 1,KANGASKHAN 1,ACCELGOR 1,SHUCKLE 1,BOUFFALANT 1,SLAKING 1,UNFEZANT 1,KANGASKHAN 1,ACCELGOR 1,SHUCKLE 1,BOUFFALANT 1,SLAKING 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUREN,,CARBINK 1,AROMATISSE 1,EXPLOUD 1,MILTANK 1,GARDEVOIR 1,TOGEKISS 1,PYROAR 1,GRANBULL 1,LOPUNNY 1,URSARING 1,BOUFFALANT 1,SLAKING 1,SYLVEON 1,MRMIME 1,AMBIPOM 1,BRAVIARY 1,PORYGON-Z 1,FLORGES 1,STARAPTOR 1,KANGASKHAN 1,PORYGON2 1,SNORLAX 1,SLURPUFF 1,UNFEZANT 1,TAUROS 1,LICKILICKY 1,BLISSEY 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVA,,CARBINK 1,AROMATISSE 1,EXPLOUD 1,MILTANK 1,GARDEVOIR 1,TOGEKISS 1,PYROAR 1,GRANBULL 1,LOPUNNY 1,URSARING 1,BOUFFALANT 1,SLAKING 1,SYLVEON 1,MRMIME 1,AMBIPOM 1,BRAVIARY 1,PORYGON-Z 1,FLORGES 1,STARAPTOR 1,KANGASKHAN 1,PORYGON2 1,SNORLAX 1,SLURPUFF 1,UNFEZANT 1,TAUROS 1,LICKILICKY 1,BLISSEY 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRITZ,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
KAYA,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
KASPER,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
ALINE,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
CODY,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
AVA,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
ERROLL,,RAMPARDOS 1,ESCAVALIER 1,POLIWRATH 1,POLITOED 1,HOUNDOOM 1,DRAPION 1,HONCHKROW 1,KROOKODILE 1,MANDIBUZZ 1,LICKILICKY 1,STARMIE 1,JOLTEON 1,GLACEON 1,MIENSHAO 1,MAMOSWINE 1,TANGROWTH 1,KINGDRA 1,MAGMORTAR 1,ARCHEOPS 1,GARCHOMP 1,BASTIODON 1,ACCELGOR 1,RAPIDASH 1,PINSIR 1,DONPHAN 1,LUXRAY 1,ROSERADE 1,STEELIX 1,BRAVIARY 1,YANMEGA 1,FLYGON 1,FLAREON 1,LUCARIO 1,BEARTIC 1,LAPRAS 1,PORYGON-Z 1,SNORLAX 1,HAXORUS 1,DRAGONITE 1,HYDREIGON 1,FLOATZEL 1,ZEBSTRIKA 1,MUK 1,SCIZOR 1,WAILORD 1,NINETALES 1,GIGALITH 1,WEAVILE 1,TENTACRUEL 1,GARDEVOIR 1,KLINKLANG 1,ESPEON 1,HIPPOWDON 1,BOUFFALANT 1,CROBAT 1,VANILLUXE 1,BLISSEY 1,TOGEKISS 1,TYRANITAR 1,SLAKING 1,MISMAGIUS 1,DRIFBLIM 1,GENGAR 1,HERACROSS 1,CLAYDOL 1,MACHAMP 1,CONKELDURR 1,GLISCOR 1,AERODACTYL 1,GALLADE 1,CHANDELURE 1,UMBREON 1,PROBOPASS 1,AGGRON 1,MAGNEZONE 1,EELEKTROSS 1,MILOTIC 1,VOLCARONA 1,SALAMENCE 1,CARRACOSTA 1,SEISMITOAD 1,AMPHAROS 1,URSARING 1,BRONZONG 1,SHUCKLE 1,EXCADRILL 1,ZOROARK 1,PORYGON2 1,EXEGGUTOR 1,VAPOREON 1,LEAFEON 1,DUSKNOIR 1,WALREIN 1,RHYPERIOR 1,GYARADOS 1,ELECTIVIRE 1,ARCANINE 1,METAGROSS 1,,
